Signal_Class,Markets,Production_State,Research_Lanes,Research_Statuses,Coverage_State,Gap_Priority,Evidence_Basis,Recommended_Next_Step,Report_Only,Production_Authority,Supporting_Diagnostic_Only,Promotion_Row_Registered,No_Auto_Promotion,Audit_Version
Pitcher baseline skill and recent form,K; H; OUTS,ACTIVE_MARKET_SPECIFIC_HISTORY,Calibration Shadow; Projection Crusher Shadow; Projection Underperformer Shadow; K Ladder Reliability Shadow; Input Quality v2 · Strikeouts; Input Quality v2 · Hits; Input Quality v2 · Outs,Calibration Shadow=FAIL; Projection Crusher Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW; Projection Underperformer Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW; K Ladder Reliability Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW; Input Quality v2 · Strikeouts=LEARNING; Input Quality v2 · Hits=LEARNING; Input Quality v2 · Outs=LEARNING,COVERED,NONE,"K uses shrunk recent K/BF history; Hits uses shrunk hits/BF history; Outs uses recency-weighted outs history. Calibration, residual, ladder, and input-quality lanes audit reliability.",KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Opponent batter K/H split and confirmed lineup,K; H,ACTIVE,Opponent Asymmetric Challenger; Opponent BOOST Cap Shadow; Weak-REDUCE Neutralization Shadow; Confirmed Lineup; Lineup Materiality Shadow; Handedness Matchup Audit,Opponent Asymmetric Challenger=INCONCLUSIVE; Opponent BOOST Cap Shadow=LEARNING; Weak-REDUCE Neutralization Shadow=LEARNING; Confirmed Lineup=LEARNING; Lineup Materiality Shadow=INCONCLUSIVE; Handedness Matchup Audit=LEARNING,COVERED_BUT_IMMATURE,NONE,Pregame opponent summaries use pitcher-hand hitter K and H/PA splits and preserve confirmed nine-man lineups with shrinkage/fallbacks; associated forward lanes remain source-gated.,KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
"Pitch mix, whiff, putaway, usage and velocity",K,RESEARCH_ONLY_NEUTRAL_IN_LIVE_K,Pitch-Mix Whiff Forward,Pitch-Mix Whiff Forward=LEARNING,COVERED_BUT_IMMATURE,NONE,"Pregame research features include pitch types, usage entropy, average velocity, whiff, putaway and arsenal K rate; the live K arsenal factor remains neutral until evidence matures.",KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
"Workload, role, rest and leash",K; H; OUTS,ACTIVE_SHARED_WORKLOAD,Starter Role Live Shadow; Workload v2.5 Candidates,Starter Role Live Shadow=LEARNING; Workload v2.5 Candidates=HOLD,COVERED_BUT_IMMATURE,NONE,"Shared workload uses pregame pitches, BF, outs, efficiency, trends, days since last start, conservative short-rest handling and leash; workload promotion decisions remain cross-season authoritative.",PRESERVE_CURRENT_PRODUCTION_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Umpire strikeout context,K,RESEARCH_ONLY_NEUTRAL_IN_LIVE_K,Umpire Context; Umpire K-UP Cap Shadow,Umpire Context=LEARNING; Umpire K-UP Cap Shadow=LEARNING,COVERED_BUT_IMMATURE,NONE,Umpire context has capture/validation and cap-shadow research; the live K umpire factor remains neutral pending source-owned evidence.,KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Catcher context,K,RESEARCH_ONLY,Catcher Context,Catcher Context=LEARNING,COVERED_BUT_IMMATURE,NONE,"Catcher capture, prior-maturity and forward validation exist; no production activation is authorized.",KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Park and venue context,K; H; OUTS,K_PARTIAL_8_VENUES; H_ENGINE_CAPABILITY_NOT_WIRED; OUTS_ABSENT,,N/A,COVERED_PREREGISTERED_SUPPORTING_DIAGNOSTIC,NONE,"A dedicated future-only Park Context Audit is preregistered from 2026-08-23. It freezes prior-completed-season three-year Baseball Savant park factors for SO and H, treats OBP as exploratory-only for Outs, and has no production or promotion-row authority.",COLLECT_FORWARD_PARK_CONTEXT_EVIDENCE_NO_PRODUCTION_CHANGE,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Opponent contact/on-base pressure for starter outs,OUTS,PRODUCTION_ABSENT; RESEARCH_ONLY_PREREGISTERED,,N/A,COVERED_PREREGISTERED_SUPPORTING_DIAGNOSTIC,NONE,"A dedicated future-only Outs Opponent Pressure Audit is preregistered from 2026-08-23. It captures true opponent OBP and contact rate versus pitcher hand before first pitch, validates confirmed-lineup fingerprints when available, and grades only exact frozen Outs residuals. It has no production or promotion-row authority.",COLLECT_FUTURE_ONLY_OUTS_OPPONENT_PRESSURE_EVIDENCE_NO_PRODUCTION_CHANGE,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Same-day bullpen availability and hook pressure,K; H; OUTS,INDIRECT_HISTORICAL_LEASH_ONLY,Starter Role Live Shadow; Workload v2.5 Candidates,Starter Role Live Shadow=LEARNING; Workload v2.5 Candidates=HOLD,CANDIDATE_GAP,MEDIUM,"Historical team/pitcher leash is represented, but no explicit same-day bullpen availability or bullpen fatigue feature/capture was identified in the current repository audit.",ASSESS_PREGAME_DATA_AVAILABILITY_THEN_PREREGISTER_IF_AUDITABLE,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Team defense and fielding context,H; OUTS,ABSENT_EXPLICITLY,,N/A,CANDIDATE_GAP,MEDIUM,No explicit defense/fielding feature or research lane was identified for Hits Allowed or Outs. Treat as a candidate until a leakage-safe pregame metric and incremental hypothesis are specified.,DEFINE_LEAKAGE_SAFE_DEFENSE_HYPOTHESIS_BEFORE_COLLECTION,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Probability calibration and common-mode error,K; H; OUTS,ACTIVE_CALIBRATION_PATHS_AND_REPORTING,Calibration Shadow; Calibration Common-Mode v2; K Ladder Reliability Shadow,Calibration Shadow=FAIL; Calibration Common-Mode v2=LEARNING; K Ladder Reliability Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW,COVERED_BUT_IMMATURE,NONE,"Independent SIM/MATH paths, calibration reporting, common-mode research and K ladder reliability are present; source-owned negative/watch evidence is preserved.",KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Input quality and pregame provenance,K; H; OUTS,ACTIVE_GUARDRAILS; RESEARCH_MATCHED_COHORTS,Input Quality v2 · Strikeouts; Input Quality v2 · Hits; Input Quality v2 · Outs,Input Quality v2 · Strikeouts=LEARNING; Input Quality v2 · Hits=LEARNING; Input Quality v2 · Outs=LEARNING,COVERED_BUT_IMMATURE,NONE,"Matched future-only input-quality lanes exist for all three markets, with provenance/freshness controls and no production authority.",KEEP_FROZEN_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Projection residual tails and milestone reliability,K,RESEARCH_ONLY,Projection Crusher Shadow; Projection Underperformer Shadow; K Ladder Reliability Shadow,Projection Crusher Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW; Projection Underperformer Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW; K Ladder Reliability Shadow=READY_FOR_MANUAL_RESEARCH_REVIEW,COVERED_REVIEWED,NONE,"Exact frozen-projection residual studies and model-milestone reliability are separate, reviewed research lanes; Underperformer has a future-only supporting challenger while Crusher remains HOLD.",PRESERVE_HUMAN_DISPOSITIONS_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Authentic-line execution accountability,K; H; OUTS,EXECUTION_ONLY,Top Plays Accountability,Top Plays Accountability=LEARNING,COVERED_BUT_IMMATURE,NONE,Top Plays accountability grades authentic observed real-line decisions separately from forecast math; sportsbook data remains execution-only.,KEEP_REAL_LINE_ONLY_AND_COLLECT,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
ML nonlinear challenger,K,RESEARCH_ONLY,ML Challenger,ML Challenger=MIXED,COVERED_NEGATIVE_OR_MIXED,NONE,Walk-forward ML shadow exists with no live projection use or market features; negative/mixed evidence is preserved and governance breadth gates apply.,PRESERVE_NEGATIVE_ML_EVIDENCE_NO_PROMOTION,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
Weather,K; H; OUTS,INFORMATIONAL_ONLY_BY_POLICY,,N/A,INTENTIONALLY_EXCLUDED_FROM_PROJECTION,NONE,Weather remains an informational display and live projection factors are neutral by project guardrail.,PRESERVE_INFORMATIONAL_ONLY_POLICY,True,NONE,True,False,True,research-signal-coverage-audit-v3-report-only
