Lane,Category,Research_Family,Sibling_Lanes,Hypothesis_ID,Primary_Endpoint,Source_Path,Source_Version,Source_Fingerprint,Forward_Start_Date,Freeze_At_UTC,Source_Code_SHA,Freeze_Metadata_Status,Governance_Effective_Date,Report_Only,Production_Authority,No_Auto_Promotion,Governance_Version
Opponent Asymmetric Challenger,OPPONENT,OPPONENT_RESPONSE,Opponent BOOST Cap Shadow;Weak-REDUCE Neutralization Shadow,hyp-fe2e60c166d24124,changed-start relative MAE + win share versus incumbent,data/opponent_matchup_asymmetric_response_shadow_gate.csv,opponent-matchup-asymmetric-response-shadow-v1,5c82631d44f9b640bceddffcb07d89bce966c997f75363bafa5029c8cc52c3d3,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Opponent BOOST Cap Shadow,OPPONENT,OPPONENT_RESPONSE,Opponent Asymmetric Challenger;Weak-REDUCE Neutralization Shadow,hyp-3da14761d51f48b3,changed-start relative MAE + win share versus incumbent,data/opponent_matchup_boost_cap_shadow_summary.csv,opponent-matchup-boost-cap-shadow-v1,e1b0a72579ac082cdb83ead63c69c7ab83180fd77f70db36ddfc4ebd69e0f3d8,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Weak-REDUCE Neutralization Shadow,OPPONENT,OPPONENT_RESPONSE,Opponent Asymmetric Challenger;Opponent BOOST Cap Shadow,hyp-db8af1341a2bebf9,changed-start relative MAE + win share versus incumbent,data/opponent_matchup_weak_reduce_neutral_shadow_summary.csv,opponent-matchup-weak-reduce-neutral-shadow-v1,d6ac4ac8d7f491aedb1352025a7c2704873aa6adc42e0c3b13d48118269b862e,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Confirmed Lineup,LINEUP,LINEUP,Lineup Materiality Shadow,hyp-ea9584e4e29d6845,OOS paired strikeout-projection MAE + win share,data/lineup_k_walkforward_gate.csv,lineup-k-walkforward-v2-lineage-safe-report-only,6375e3a1bd2935c7f099601e885b499006474d7d3009d168231ad9d8ecde60e1,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Lineup Materiality Shadow,LINEUP,LINEUP,Confirmed Lineup,hyp-cdc727eb70c2337e,changed-pair relative MAE versus confirmed-lineup incumbent,data/lineup_materiality_shadow_gate.csv,lineup-materiality-shadow-v1,bb0eeb801bac7997aa0d6742f9a391d7a74f064a9501be9d1237bdb68eed1cf5,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Handedness Matchup Audit,MATCHUP,HANDEDNESS,,hyp-d779fa5f4ca22ddb,RHP/LHP projection residual consistency,data/handedness_matchup_audit_gate.csv,handedness-matchup-audit-v1-report-only,f9b129b61f7796a786c9f164dc314afe2e11c64c8ab9551158ede56a05219064,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Pitch-Mix Whiff Forward,PITCH_MIX,PITCH_MIX,,hyp-947af2f68cc76698,frozen whiff-score association with strikeout residual,data/pitch_mix_whiff_forward_gate.csv,pitch-mix-whiff-forward-eval-v1-preregistered-report-only,a2a6a0ec85dc1d558da24a671ba4c9eba4366be1d39925dcf07af04bb35b98f8,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Umpire Context,CONTEXT,UMPIRE,Umpire K-UP Cap Shadow,hyp-5577c3c573d8eccb,OOS strikeout-projection MAE + win share,data/umpire_k_live_validation_gate.csv,umpire-k-live-validation-v1-lineage-safe-report-only,cefcfdbb913b7cd39d5c23de3a0d86fb789985039330a8143957601c5dec05d5,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Umpire K-UP Cap Shadow,CONTEXT,UMPIRE,Umpire Context,hyp-501cdb6d9dd39e56,changed-start relative MAE + win share versus incumbent,data/umpire_k_up_cap_shadow_summary.csv,umpire-k-up-cap-shadow-v1-preregistered-report-only,6c7f9ef6d11e1c0a0a2c904f5b1725a6823f31e0f8cdaafe74d24e6d8e0c26b8,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
Catcher Context,CONTEXT,CATCHER,,hyp-d6c35a48569b7538,auditable OOS strikeout-projection MAE,data/catcher_context_validation_gate.csv,catcher-context-walkforward-v1,4de9ba14c1920db2ffed8831dd1deb4e9c5a0145f4286e1cead3bf60d13b5b79,,,,SOURCE_VERSION_PINNED,2026-08-21,True,NONE,True,research-governance-v2-report-only
